id,label,type,description,unit,source_file
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:30098,"$ \frac{\text{smin\_nh4\_to\_plant\_patch}(p)}{w\_{col}(p)} = \frac{tracer\_flx\_vtrans\_patch(p, id\_trc\_nh3x) \cdot natomw}{dtime} + \sum_{j=1}^{ubj} this\%plant\_minn\_nh4\_active\_yield\_flux\_vr\_patch(p,j) \cdot dz(c,j)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9391,"$ decomp\_type, nproc\_x = dead\_read\_inparms(model, mpicom, my\_task, master\_task, &",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:29544,$ANNSUM_{COUNTER}_{COL}(i) = ANNSUM_{COUNTER}_{COL}(i)\left\{\begin{matrix},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:29542,$C12_{STVARS} = \frac{1}{BOUNDS}\left\{\begin{matrix},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:37415,$C_f =,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:32228,$Cc = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:32233,$Cssc = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:23054,"$F^{\text{total}}_{icrm,1} = F^{\text{total}}_{icrm,1} +  Flt^{bottom}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:23053,"$F^{\text{total}}_{icrm,kc} = F^{\text{total}}_{icrm,kc} + -tkz*(\phi_{icrm,i,j,kc}-\phi_{icrm,i,j,k}) * \rhoi",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:37827,$F_{jic} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:37830,$MS_{jc} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:37829,$M_{jc} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:29545,$N14_{STVARS} = \frac{1}{BOUNDS}\left\{\begin{matrix},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:29546,$P31_{STVARS} = \frac{1}{BOUNDS}\left\{\begin{matrix},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:4596,$Prandtl =,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:12839,$Q_d = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:4570,$R s L t = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:32224,$Sc = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:29543,$ZWTS_{COL}(i) = ZWTS_{COL}(i)\left\{\begin{matrix},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:29547,$\ annsum\_counter\_col = \frac{1}{BOUNDS}\left\{\begin{matrix},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:15025,$\boxed{p = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:15029,$\boxed{q = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:15028,$\boxed{t = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:49,$\displaystyle D_i = \left\{\begin{array}{rcl},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:6794,$\displaystyle D_{sc}(j) = \begin{cases}D_1 + \frac{D_1}{D_8-D_j}\text{ if } j\leq2\\,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:51,$\displaystyle N_b = \left\{\begin{array}{rcl},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:50,$\displaystyle N_n = \left\{\begin{array}{rcl},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:52,$\displaystyle \Gamma = \left\{\begin{array}{rcl},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:20194,"$\dot{x}_{smin\_no3_to_plant_patch(p)} = \frac{tracerflux_vars\%tracer\_flx\_vtrans\_patch(p, id\_trc\_no3x) * natomw}{dtime} + & \\",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:38247,$\frac{1}{\mathrm{aren\_cond\_o2}} = \frac{\mathrm{ra}+\frac{0.5\cdot\mathrm{dzsoi}}{\mathrm{Dg}\cdot\mathrm{air\_vol}+(\mathrm{Dw}+\mathrm{Diff\_Darcy})\cdot\mathrm{h2osoi\_liqvol,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:4569,$\frac{Q_{\text{d} P}}{\partial \text{Alg}} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:6235,$\frac{\mathrm{d} var}{\mathrm{d}t} = \left(1 - \frac{\mathrm{d} wt_{new}}{\mathrm{d}t}\right) var + seed \frac{\mathrm{d}wt_{new}}{\mathrm{d}t},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:14372,$\frac{\partial}{\partial t} \left[ N_{NO_3}^{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:6898,"$\frac{\partial}{\partial y} dc(2i-1,j) = - \frac{2 \pi i}{N_y} \sin(\frac{2\",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:27421,$\mathbf{l}_{\text{PPM}}(x) = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:27422,$\mathbf{l}_{\text{PPM}}(x) = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:27423,$\mathbf{l}_{\text{PPM}}(x) = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:27424,$\mathbf{l}_{\text{PPM}}(x) = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:8784,$\mathrm{start}(x) = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:8785,$\mathrm{start}(y) = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:37414,$\partial_t X =,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:36811,"$\sin\left(\frac{\text{grid\_corner\_lat}\left(1, \text{ocn\_add} \right) + \text{grid\_corner\_lat}\left(2, \text{ocn\_add} \right) + \text{grid\_corner\_lat}\left(3, \text{ocn\_add} \right) + \text{grid\_corner\_lat}\left(4, \text{ocn\_add} \right))/4",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:18911,$\text{A}_\text{k}=\begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:24095,$\text{DSE1} = \text{DSE1} + \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:7042,$\text{GS} = \text{G}_i + \left\{\begin{matrix},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:38451,$\text{NAT} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:38450,$\text{NLON} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:31027,$\text{Src} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:18910,$\text{T}_\text{k}=\begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:3160,$\text{alc} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34459,$\text{any\_vals\_less\_than\_1D\_masked}=\begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34453,$\text{any\_vals\_less\_than\_1D}=\begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34461,$\text{any\_vals\_less\_than\_2D\_masked}=\begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34455,$\text{any\_vals\_less\_than\_2D}=\begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34463,$\text{any\_vals\_less\_than\_3D\_masked}=\begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34457,$\text{any\_vals\_less\_than\_3D}=\begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19096,"$\text{call shr\_sys\_abort }\, 'GETFIL: FAILED\, to get'\,&",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:21487,$\text{cloud\_dtau} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:33884,$\text{frac_str} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:15911,$\text{get\_time}=\left\{\begin{aligned},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:37183,$\text{if } \left( \left( z_{\text{m}_i} < z_{\text{o}_{N}} \right) \land \left( z_{\text{m}_i} > z_{\text{o}_1} \right) \right) \text{ then } \left\{ \begin{aligned},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:37181,$\text{if } \left( z_{\text{m}_i} \geq z_{\text{o}_{N}} \right) \text{ then } \left\{ \begin{aligned},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:37182,$\text{if } \left( z_{\text{m}_i} \leq z_{\text{o}_1} \right) \text{ then } \left\{ \begin{aligned},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:37488,$\text{if }(abs(area\_glacier - 1.0_r8) < tol)\ \&\& \,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:37486,$\text{if }(lun\_pp\%itype(l) == istice\_mec)\ \&\& \,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:37487,$\text{if }(lun\_pp\%itype(l) == istsoil)\ \&\& \,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:3167,"$\text{lcldn}\left(i,k\right) = \begin{cases}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:3168,"$\text{lcldo}\left(i,k\right) = \begin{cases}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:18208,$\text{o1\_mw} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:18209,$\text{o2\_mw} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:18211,$\text{o3\_mw} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:21486,$\text{thres\_crossed\_MISR} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:27012,$\text{trim}(bf) = bf',Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:3813,$\text{yesno} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:36902,$\theta_c=\arctan\left(\frac{\sin \theta_1 + \sin \theta_2 + \sin \theta_3 + \sin \theta_4}{\cos \theta_1 + \cos \theta_2 + \cos \theta_3 + \cos \theta_4}\right)\],Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:21394,$b_n = b_{n-1} + \left\{ \begin{array}{ll},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:30066,"$biogeo_flux\n14flux_vars\smin_no3_to_plant_patch(p) = tracer_flx_vtrans_patch(p, id_trc_no3x) * natomw / dtime + &",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:4595,$c'_{\mu} =,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9700,$col_pf\%gap_mortality_p_to_litr_lig_p (Gap Mortality Flux to Ligand Phosphorus),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9697,$col_pf\%gap_mortality_p_to_litr_met_p (Gap Mortality Flux to Metabolizable Phosphorus),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9698,$col_pf\%harvest_p_to_litr_cel_p (Harvest Mortality Flux to Cellular Phosphorus),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9702,$col_pf\%harvest_p_to_litr_met_p (Harvest Mortality Flux to Metabolizable Phosphorus),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9696,$col_ps\%decomp_ppools_vr (Col P Pool),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9701,"$col_ps\%decomp_ppools_vr(c,j,i_cel_lit) (Cellular Pool, column c, layer j)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9704,"$col_ps\%decomp_ppools_vr(c,j,i_cwd) (CWD Pool, column c, layer j)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9703,"$col_ps\%decomp_ppools_vr(c,j,i_lig_lit) (Ligand Pool, column c, layer j)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9699,"$col_ps\%decomp_ppools_vr(c,j,i_met_lit) (Metabolic Pool, column c, layer j)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:6685,"$d_{i,j} = \begin{cases}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34859,$def_tsi (Default Total Solar Irradiance),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:2956,$diag_ustar (dus),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34605,$f_2 = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34864,$flux_dn (Downward Flux),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34863,$flux_up (Upward Flux),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34865,$gas_conc_array (Gas Concentration Array),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:15515,"$ierr = nf90\_create(fname, nmode , File\%fh, &",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:16835,$ivt                =>  veg_pp%itype                         ! Input:  [integer  (:) ] pft vegetation type,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:36177,$jday = \frac{1461L(year + 4800)}{4} + \frac{306001L(year)}{100} + \frac{ Lester(year)}{400} - \frac{367L(month)}{4} - \frac{Lester(month)}{12} + day,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34856,$k_dist (K-Distribution),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:7432,$k_{nn} = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:17263,$loc_cpdair = cp_da,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:17264,$loc_cpvir  = cp_va,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:17266,$loc_g      = g,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:17265,$loc_karman = k_m,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:17268,$loc_latice = l_ice,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:17267,$loc_latvap = l_vap,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:17269,$loc_stebol = s_bl,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:17262,$loc_zvir   = z_vir,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19098,"$open \text{(unit}=\text{iun},\text{file}=\text{locfn},\text{status}'unknown',&\\",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34857,$optical_props (Optical Properties),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:18719,$p_i =,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34852,$p_lay (Pressure Layer),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34853,$p_lev (Pressure Level),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:20274,$smin\_nh4\_to\_plant\_patch (smin_nh4),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:20275,$smin\_no3\_to\_plant\_patch (smin_no3),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:13030,"$smin_{\text{NH}_4} \to \text{plant}_\text{patch} = \frac{\int_{z=0}^{L_c} q_{\text{v},\text{trans}}(\text{NH}_3) dt + \sum_{j=1}^{N_h} w_j \cdot smin_{\text{NH}_4,\text{active}}(j)}{\frac{w}{w}}, \tag*{(1)}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:20276,$sminp\_to\_plant\_patch (sminp_to_plant_patch),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34862,$solar_zenith_angle (Solar Zenith Angle),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:17273,$spval        = shr_const_spval     ! special value,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34860,$surface_albedo (Surface Albedo),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34854,$t_lay (Temperature Layer),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34855,$t_lev (Temperature Level),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:18213,$t_o3 = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34858,$toa_flux (Total Flux at Top of Atmosphere),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34861,$total_solar_irradiance (Total Solar Irradiance),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:2955,$u_h0 (uh0),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:17270,$umin        = 1.0_R8            ! minimum wind speed (m/s),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:3456,"$uva(i,k,m) = \begin{cases}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9709,"$veg_pf\%hrv_deadstemp_to_prod10p (Harvest Mortality Flux to Dead Stem Temperature, Product 10)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9705,$veg_pf\%hrv_leafp_to_litter (Harvest Mortality Flux to Leaf Phosphorus),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9713,$veg_pf\%hrv_retransp_to_litter (Harvest Mortality Flux to Retranspiration),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9712,"$veg_ps\%deadcrootp(p) (Dead Coarse Root Phosphorus, patch p)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9710,"$veg_ps\%deadstemp(p) (Dead Stem Temperature, patch p)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9707,"$veg_ps\%frootp(p) (Fine Root Phosphorus, patch p)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9706,"$veg_ps\%leafp(p) (Leaf Phosphorus, patch p)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9711,"$veg_ps\%livecrootp(p) (Living Coarse Root Phosphorus, patch p)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9708,"$veg_ps\%livestemp(p) (Living Stem Temperature, patch p)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9715,"$veg_ps\%ppool(p) (Phosphorus Pool, patch p)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:9714,"$veg_ps\%retransp(p) (Retranspiration, patch p)",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:5894,$x_{SUB} = \left\{\begin{array}{ll},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:3812,$y = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:5895,$y_{SUB} = \left\{\begin{array}{ll},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:17272,$z_tref       = 2.0_R8             ! ref height for air T ~ m,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:17271,$zref         = 10.0_R8            ! ref height           ~ m,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:22656,${\tt lengths}(i) = \begin{cases},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:13270,((PREV\_LU)_{ij,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:13199,"((\delta_{ij}-M_{i,j})Y_j)_{i=1}^{numeqns} = (\delta_{ik}B_k)_{k=1}^{numeqns}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:1556,(-1 ≠ 2) => (-1 > 2) ∨ (2 > -1),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:1560,(-1 ≠ 2) => (-1 > 2) ∨ (2 > -1),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:13746,(1 - Gr) \cdot X_{cd,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:13752,(1 - Gr) \cdot X_{cd,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:13740,(1 - Gr) \cdot X_{cf,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:13737,(1 - Gr) \cdot X_{cl,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:13743,(1 - Gr) \cdot X_{clv,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:13749,(1 - Gr) \cdot X_{clv,Equation,,,
