source,target,relationship
cmue_a.F90,$\overline{T}_3$,contains
cmue_a.F90,$\overline{T}_4$,contains
cmue_a.F90,$\overline{T}_5$,contains
cmue_a.F90,$N_i$,contains
cmue_a.F90,$S_i$,contains
cmue_a.F90,$T_i$,contains
cmue_a.F90,i,contains
cmue_a.F90,i,contains
cmue_a.F90,i,contains
cmue_a.F90,s,contains
cmue_a.F90,b,contains
cmue_a.F90,$r_i$,contains
cmue_a.F90,Pe,contains
cmue_a.F90,$N$,contains
cmue_a.F90,$N_t$,contains
cmue_a.F90,$D_0$,contains
cmue_a.F90,$D_1$,contains
cmue_a.F90,$D_2$,contains
cmue_a.F90,$D_3$,contains
cmue_a.F90,$D_4$,contains
cmue_a.F90,$D_5$,contains
cmue_a.F90,$N_n^0$,contains
cmue_a.F90,$N_n^1$,contains
cmue_a.F90,$N_n^2$,contains
cmue_a.F90,$N_n^3$,contains
cmue_a.F90,$\overline{N}_t^0$,contains
cmue_a.F90,$\overline{N}_t^1$,contains
cmue_a.F90,$\overline{N}_t^2$,contains
cmue_a.F90,$\Gamma_0$,contains
cmue_a.F90,$\Gamma_1$,contains
cmue_a.F90,$\Gamma_2$,contains
cmue_a.F90,$\frac{1}{C_{\mu}^{(3,contains
cmue_a.F90,$ r_i $,contains
cmue_a.F90,$\displaystyle \overline{D} = D_0 + D_1 \overline{N}^2  + D_2 \overline{S}^2 + D_3 \overline{N}^2 \overline{S}^2 + D_4 \overline{N}^4   + D_5 \overline{S}^4$,encodes
cmue_a.F90,$\displaystyle N_n = n_0 +  n_1 \overline{N}^2  + n_2 \overline{S}^2 + n_3 \overline{T}$,encodes
cmue_a.F90,$\displaystyle N_b = n_{b0} +  n_{b1} \overline{N}^2 + n_{b2} \overline{S}^2 $,encodes
cmue_a.F90,$\displaystyle N_\Gamma = ( g_0 +  g_1 \overline{N}^2  + g_2 \overline{S}^2 ) \overline{T}$,encodes
cmue_a.F90,$\displaystyle D_i = \left\{\begin{array}{rcl},encodes
cmue_a.F90,$\displaystyle N_n = \left\{\begin{array}{rcl},encodes
cmue_a.F90,$\displaystyle N_b = \left\{\begin{array}{rcl},encodes
cmue_a.F90,$\displaystyle \Gamma = \left\{\begin{array}{rcl},encodes
calc_roots.F90,a,contains
calc_roots.F90,b,contains
calc_roots.F90,c,contains
calc_roots.F90,d,contains
calc_roots.F90,R,contains
calc_roots.F90,Q,contains
calc_roots.F90,D,contains
calc_roots.F90,S,contains
calc_roots.F90,T,contains
calc_roots.F90,i,contains
calc_roots.F90,sqrt(3,contains
calc_roots.F90,1/2,contains
calc_roots.F90,1/3,contains
calc_roots.F90,n_z,contains
calc_roots.F90,a,contains
calc_roots.F90,b,contains
calc_roots.F90,c,contains
calc_roots.F90,d,contains
calc_roots.F90,x,contains
calc_roots.F90,Q,contains
calc_roots.F90,R,contains
calc_roots.F90,D,contains
calc_roots.F90,sqrt(D,contains
calc_roots.F90,S,contains
calc_roots.F90,T,contains
calc_roots.F90,Q = ( 3*(c/a) - (b/a)^2 ) / 9,encodes
calc_roots.F90,R = ( 9*(b/a)*(c/a) - 27*(d/a) - 2*(b/a)^3 ) / 54,encodes
calc_roots.F90,D = R^2 + Q^3,encodes
calc_roots.F90,S = ( R + sqrt( D ) )^(1/3),encodes
calc_roots.F90,T = ( R - sqrt( D ) )^(1/3),encodes
calc_roots.F90,x(1) = -(1/3)*(b/a) + ( S + T );,encodes
calc_roots.F90,x(2) = -(1/3)*(b/a) - (1/2) * ( S + T ) + (1/2)i * sqrt(3) * ( S - T );,encodes
calc_roots.F90,x(3) = -(1/3)*(b/a) - (1/2) * ( S + T ) - (1/2)i * sqrt(3) * ( S - T );,encodes
calc_roots.F90,D = R^2 + Q^3,encodes
calc_roots.F90,i_cmplx = sqrt(-1),encodes
calc_roots.F90,S = ( R + sqrt( D ) )^(1/3); and,encodes
calc_roots.F90,T = ( R - sqrt( D ) )^(1/3).,encodes
calc_roots.F90,R = ( 9*(b/a)*(c/a) - 27*(d/a) - 2*(b/a)^3 ) / 54,encodes
calc_roots.F90,S = ( R + sqrt(D) )^(1/3),encodes
calc_roots.F90,T = ( R - sqrt(D) )^(1/3),encodes
calc_roots.F90,x(1) = -(1/3)*(b/a) + (S + T),encodes
calc_roots.F90,x(2) = -(1/3)*(b/a) - (1/2) * ( S + T ) + (1/2)i * sqrt(3) * ( S - T );,encodes
calc_roots.F90,x(3) = -(1/3)*(b/a) - (1/2) * ( S + T ) - (1/2)i * sqrt(3) * ( S - T );,encodes
calc_roots.F90,D = b^2 - 4*a*c,encodes
calc_roots.F90,x(1) = ( -b + sqrt( b^2 - 4*a*c ) ) / (2*a); and,encodes
calc_roots.F90,x(2) = ( -b - sqrt( b^2 - 4*a*c ) ) / (2*a).,encodes
calc_roots.F90,cube_root = x**one_third when x >= 0,encodes
calc_roots.F90,cube_root = -abs(x)**one_third when x < 0,encodes
dwav_shr_mod.F90,IN,contains
dwav_shr_mod.F90,IN,contains
dwav_shr_mod.F90,IN,contains
dwav_shr_mod.F90,IN,contains
dwav_shr_mod.F90,IN,contains
dwav_shr_mod.F90,IN,contains
dwav_shr_mod.F90,IN,contains
dwav_shr_mod.F90,IN,contains
dwav_shr_mod.F90,INOUT,contains
dwav_shr_mod.F90,OUT,contains
dwav_shr_mod.F90,OUT,contains
dwav_shr_mod.F90,LOCAL,contains
dwav_shr_mod.F90,LOCAL,contains
dwav_shr_mod.F90,LOCAL,contains
dwav_shr_mod.F90,PUBLIC,contains
dwav_shr_mod.F90,PUBLIC,contains
dwav_shr_mod.F90,PUBLIC,contains
dwav_shr_mod.F90,PUBLIC,contains
dwav_shr_mod.F90,LOCAL,contains
dwav_shr_mod.F90,PARAMETER,contains
dwav_shr_mod.F90,"`filename = ""dwav_in""//trim(inst_suffix)`",encodes
dwav_shr_mod.F90,"`decomp = ""1d""`",encodes
dwav_shr_mod.F90,`restfilm   = trim(nullstr)`,encodes
dwav_shr_mod.F90,`restfils   = trim(nullstr)`,encodes
dwav_shr_mod.F90,`force_prognostic_true = .false.`,encodes
dwav_shr_mod.F90,`rest_file = trim(restfilm)`,encodes
dwav_shr_mod.F90,`rest_file_strm = trim(restfils)`,encodes
dwav_shr_mod.F90,`if (my_task == master_task) then`,encodes
dwav_shr_mod.F90,"`call shr_strdata_readnml(SDWAV,trim(filename),mpicom=mpicom)`",encodes
dwav_shr_mod.F90,`if (trim(datamode) == 'NULL' .or. &`,encodes
dwav_shr_mod.F90,`wav_present    = .false.`,encodes
dwav_shr_mod.F90,`wav_prognostic = .false.`,encodes
stepon.F90,Δt,contains
stepon.F90,Δt0,contains
stepon.F90,Δt1,contains
stepon.F90,Integer index for subcycling,contains
stepon.F90,Index for vertical levels,contains
stepon.F90,Index for longitude,contains
stepon.F90,Index for latitude,contains
stepon.F90,Constituent index,contains
stepon.F90,Index for latitude,contains
stepon.F90,Index for vertical levels,contains
stepon.F90,"$oxed{q}_{i,k,c,q} = \boxed{q^*}_{i,k,c,q} + \frac{\Delta t}{\rho_{i,k,c}} f^{q}_{i,k,c,q}$",encodes
stepon.F90,$oxed{p} = \frac{\Delta p}{\Delta t}$,encodes
stepon.F90,$oxed{x} = x_{n+1} - x_n$,encodes
stepon.F90,$oxed{u}_t = u + \frac{\partial u}{\partial t} dt$,encodes
stepon.F90,$oxed{v}_t = v + \frac{\partial v}{\partial t} dt$,encodes
stepon.F90,$\frac{dT}{dt} = \frac{T'}{\Delta t}$  ($\frac{dT}{dt}$ in subroutine stepon_run2),encodes
stepon.F90,$\frac{dU}{dt} = \frac{U'}{\Delta t}$  ($\frac{dU}{dt}$ in subroutine stepon_run2),encodes
stepon.F90,$\frac{dV}{dt} = \frac{V'}{\Delta t}$  ($\frac{dV}{dt}$ in subroutine stepon_run2),encodes
stepon.F90,$q_{t+\delta t} = q_t + \left(\frac{1}{\Delta t}\right) F(q)$  (in subroutine apply_fq),encodes
stepon.F90,"$\phi_{t+\delta t} = \phi_t + \frac{1}{\rho} p_{t+\delta t}$  (not explicitly shown in the code, but a general equation for pressure)",encodes
stepon.F90,"$\frac{\partial q_{c,l,c}}{\partial t} = \frac{q_c - q_{c,l,c}}{dt}$",encodes
stepon.F90,"$\frac{\partial q_{c,l,c}}{\partial t} = \frac{q_c - q_{c,l,c}}{dt}$",encodes
stepon.F90,$cos\left(\theta \right) = \frac{1}{rcoslat}$,encodes
stepon.F90,$\frac{1}{pmid} = rpmid$,encodes
stepon.F90,$\frac{\Delta p}{p_{mid}} = pdel$,encodes
stepon.F90,$p_i = pint$,encodes
stepon.F90,$\frac{1}{p_{mid}} = rpmid$,encodes
stepon.F90,$\frac{d}{dt} \left( \psi \right) = - \frac{\partial}{\partial x} \left( u \cdot \psi \right) - \frac{\partial}{\partial y} \left( v \cdot \psi \right)$,encodes
stepon.F90,"$\frac{d}{dt} \left( \omega \right) = -\frac{\partial}{\partial x} \left( u \cdot \omega \right) -\frac{\partial}{\partial y} \left( v \cdot \omega \right) + g \, \frac{\partial}{\partial p} \left( \rho \right)$",encodes
stepon.F90,$\frac{\partial}{\partial p} \left( p_{mid} - p_{i} \right) = \frac{1}{g}$,encodes
stepon.F90,$cos(\lambda) = cos(lat)$,encodes
stepon.F90,$\frac{1}{cos(\lambda)} = \frac{1}{cos(lat)}$,encodes
stepon.F90,$pmid^{-1} = \frac{1}{pmid}$,encodes
stepon.F90,$\Delta p = pressure depth of layer$,encodes
stepon.F90,$P_{intf} = Pressure at interfaces$,encodes
stepon.F90,$P_m = Pressure at midpoint$,encodes
stepon.F90,$\eta_{mid} = vertical coords at midpoints or pmid if single_column$,encodes
stepon.F90,Equation in standard mathematical format: $o=\omega$,encodes
stepon.F90,Equation in standard mathematical format: $z = 2\Delta t$,encodes
stepon.F90,Equation in standard mathematical format: $\Delta t_{dyn}^0 = \frac{ztodt}{n_s}$,encodes
stepon.F90,Equation in standard mathematical format: $f_q = \frac{q_{min}^{(n)}-q_3^{(n)}}{ztodt}$,encodes
stepon.F90,"Equation in standard mathematical format: $q_{tmp} = q_3(i, k, c, q)$",encodes
stepon.F90,"Equation in standard mathematical format: $fq_{tmp} = ztodt \cdot fq(i, k, c, q)$",encodes
stepon.F90,ztodt = 2.0_r8 * dtime,encodes
stepon.F90,dt_dyn0 = ztodt / eul_nsplit,encodes
stepon.F90,dt_dyn = dt_dyn0,encodes
stepon.F90,if (is_first_step()) dt_dyn = 2*dt_dyn0,encodes
stepon.F90,"fq = (qminus(:,:,:,:) - q3(:,:,:,:,n3m2)) / ztodt",encodes
stepon.F90,t2_save=t2,encodes
stepon.F90,fu_save=fu,encodes
stepon.F90,fv_save=fv,encodes
stepon.F90,"ztodt (Twice time step size unless nstep=0, Short Notation: 2Δt)",encodes
stepon.F90,DELTA M = ∆m [M],encodes
stepon.F90,cos Latitude = cos(λ),encodes
stepon.F90,rcoslat Latitude = 1 / cos(λ),encodes
stepon.F90,1 / Pressure at Midpoint = 1/P[mid],encodes
stepon.F90,Δ Pressure Depth of Layer = P[d] - P[mid],encodes
stepon.F90,Pressure at Interfaces = P[i],encodes
stepon.F90,Pressure at Midpoint = (P[i-0.5] + P[i+0.5]) / 2,encodes
stepon.F90,Δ Pressure = P[mid] - P[interface],encodes
stepon.F90,Δ Pressure = P[mid] - P[interface],encodes
stepon.F90,Vertical Coordinates at Midpoints or pmid if Single Column = η[mid],encodes
stepon.F90,Tendency of Temperature = ∂T/∂t,encodes
stepon.F90,Tendency of U wind = ∂U/∂t,encodes
stepon.F90,Tendency of V wind = ∂V/∂t,encodes
stepon.F90,Net Flux from Physics = Φ_p,encodes
stepon.F90,\(\frac{\partial q}{\partial t} = \frac{q_3 - q_{minus}}{\Delta t}\),encodes
stepon.F90,"\(f_{\text{forcing}}(i, k, c, q) = \left\{ \begin{array}{ll}",encodes
stepon.F90,"\(f_{\text{adjusted}}(i, k, c, q) = \min(f_{\text{forced}}, f_{\text{adjusted}})\)",encodes
stepon.F90,$\frac{\partial t_2}{\partial t} = \text{p\_d\_coupling}$,encodes
stepon.F90,$q_{\text{minus}} = q_3 + (1 - e^{-k \Delta t}) \left(  q_{\text{forcing}} \right)$,encodes
stepon.F90,$f_u = f_u + \frac{\Delta t}{2} (v_f u_l + v_b u_r) - \frac{\Delta t^2}{12 h} (v_f u_l^2 + v_b u_r^2)$,encodes
stepon.F90,$f_v = f_v + \frac{\Delta t}{2} (u_f v_l + u_b v_r) - \frac{\Delta t^2}{12 h} (u_f v_l^2 + u_b v_r^2)$,encodes
stepon.F90,$\frac{\partial \mathrm{q}}{\partial t} = \left(\frac{\partial \mathrm{q}}{\partial t}\right)_{\mathrm{nstep}=0} + \sum_{n=1}^{N} \frac{f_n}{\Delta t}\left( - q_0^n - \frac{1}{2} (q^+ - q^-)_n \right)$,encodes
stepon.F90,$\frac{\partial \mathrm{t}}{\partial t} = \frac{f}{\Delta t} \left(  T_0 + \frac{1}{2}(T^+-T^-) \right)$,encodes
stepon.F90,"$d_p\_coupling (ps, t3, u3, v3, q3, omga, phis, phys\_state, phys\_tend, pbuf2d, pdeld) = d\_p\_coupling (ps, t3, u3, v3, q3, omga, phis, phys\_state, phys\_tend, pbuf2d, pdeld)$",encodes
stepon.F90,"$p\_d\_coupling (phys\_state, phys\_tend, t2, fu, fv, flx\_net, qminus) = p\_d\_coupling (phys\_state, phys\_tend, t2, fu, fv, flx\_net, qminus)$",encodes
stepon.F90,ϕ = gravit * ηm,encodes
stepon.F90,∂u / ∂t = -u · ∇u + f × u + 1/ρ^2 (∂p / ∂x),encodes
stepon.F90,∂v / ∂t = -v · ∇v + f × v + 1/ρ^2 (∂p / ∂y),encodes
stepon.F90,ρ∂w / ∂t = -w · ∇w + g(θz + ϕ) + Q,encodes
stepon.F90,∂θ / ∂t = -u · ∇θ + 1/T^2 (Dθ/Dt),encodes
stepon.F90,∂q / ∂t = -u · ∇q + 1/T^2 (Dq/Dt),encodes
stepon.F90,∂ψ / ∂t = -u · ∇ψ,encodes
stepon.F90,ψ = ρw,encodes
stepon.F90,ϕ = g(θz + ϕ),encodes
stepon.F90,detam = 1 / etamid,encodes
gw_convect.F90,K_700,contains
gw_convect.F90,MAXH,contains
gw_convect.F90,MAXUH,contains
gw_convect.F90,Mfcc,contains
gw_convect.F90,IERR,contains
gw_convect.F90,ErrString,contains
gw_convect.F90,NCOL,contains
gw_convect.F90,NGWV,contains
gw_convect.F90,LAT,contains
gw_convect.F90,U,contains
gw_convect.F90,V,contains
gw_convect.F90,NETDT,contains
gw_convect.F90,ZM,contains
gw_convect.F90,SRC_LEVEL,contains
gw_convect.F90,TEND_LEVEL,contains
gw_convect.F90,TAU,contains
gw_convect.F90,UBI,contains
gw_convect.F90,XV,contains
gw_convect.F90,YV,contains
gw_convect.F90,C,contains
gw_convect.F90,HDEPTH,contains
gw_convect.F90,MAXQ0,contains
gw_convect.F90,UH,contains
gw_convect.F90,CS,contains
gw_convect.F90,SHIFT,contains
gw_convect.F90,AL,contains
gw_convect.F90,Q0,contains
gw_convect.F90,CF,contains
gw_convect.F90,PI,contains
gw_convect.F90,MINI,contains
gw_convect.F90,MAXI,contains
gw_convect.F90,UMIN,contains
gw_convect.F90,UMAX,contains
endian_convert.F90,a,contains
endian_convert.F90,b,contains
endian_convert.F90,i,contains
endian_convert.F90,n,contains
endian_convert.F90,f,contains
endian_convert.F90,`k = 1` becomes $\boxed{i=1}$,encodes
endian_convert.F90,`AK = read_value` becomes $\boxed{a = r_i}$ (where $r_i$ is a value read from file 11),encodes
endian_convert.F90,`BK = read_value` becomes $\boxed{b = s_j}$ (where $s_j$ is a value read from file 11),encodes
nanMod.F90,I,contains
nanMod.F90,N,contains
nanMod.F90,B,contains
crm_state_module.F90,u,contains
crm_state_module.F90,v,contains
crm_state_module.F90,w,contains
crm_state_module.F90,T,contains
crm_state_module.F90,qv,contains
intp_util.F90,t,contains
intp_util.F90,N,contains
intp_util.F90,i,contains
intp_util.F90,x,contains
intp_util.F90,n_x,contains
intp_util.F90,x_val,contains
intp_util.F90,idx,contains
intp_util.F90,t_1,contains
intp_util.F90,t_2,contains
intp_util.F90,t_int,contains
intp_util.F90,f_1,contains
intp_util.F90,f_2,contains
intp_util.F90,f_int,contains
intp_util.F90,fac,contains
intp_util.F90,0 \leq x_val < x(1) or x(n_x) <= x_val : idx = n_x,encodes
intp_util.F90,x(i) < x_val: idx = i - 1,encodes
intp_util.F90,t_int - t_1 = fac * (t_2 - t_1),encodes
intp_util.F90,f_int(i) = f_1(i) + (f_2(i) - f_1(i)) * fac,encodes
conv_water.F90,idx1,contains
conv_water.F90,idx2,contains
conv_water.F90,idx3,contains
conv_water.F90,idx4,contains
conv_water.F90,idx5,contains
conv_water.F90,CI,contains
conv_water.F90,CL,contains
conv_water.F90,TI,contains
conv_water.F90,TL,contains
conv_water.F90,CW,contains
conv_water.F90,LW,contains
conv_water.F90,k1,contains
conv_water.F90,k2,contains
conv_water.F90,a,contains
conv_water.F90,w1,contains
conv_water.F90,s,contains
conv_water.F90,p,contains
conv_water.F90,"$TI = \frac{LS_{frac}LS_{icwmr} + CU_{frac}CU_{icwmr}}{\max(Frac_{limit}, Tot_0_{frac})}$",encodes
conv_water.F90,"$\frac{cu_{icwmr}}{\max(frac\_limit, cu0\_frac)} = \frac{(sh0\_frac*sh\_icwmr(i,k) + dp0\_frac*dp\_icwmr(i,k))}{\max(frac\_limit,cu0\_frac)}$",encodes
conv_water.F90,"$\alpha = -1.66_r8*kabs*state%pdel(i,k)/gravit*1000.0_r8$",encodes
conv_water.F90,"$cu_{icwmr} = \begin{cases} (sh0\_frac*sh\_icwmr(i,k) + dp0\_frac*dp\_icwmr(i,k))/\max(frac\_limit,cu0\_frac)& ext{ for area weighted arithmetic average }\\ log((sh0\_frac*sh\_icwmr(i,k)+dp0\_frac*dp\_icwmr(i,k)))/\alpha & ext{ for logarithmic average } \end{cases}$",encodes
conv_water.F90,"$tot_{icwmr} = \begin{cases} (ls\_frac*ls\_icwmr + cu0\_frac*cu\_icwmr)/\max(frac\_limit,tot0\_frac)& ext{ for area weighted arithmetic average }\\ log((ls\_frac*exp(\alpha*ls\_icwmr)+cu0\_frac*exp(\alpha*cu\_icwmr)))/\alpha & ext{ for logarithmic average } \end{cases}$",encodes
conv_water.F90,$conv_{ice} = cu_{icwmr} * wrk1$,encodes
conv_water.F90,$conv_{liq} = cu_{icwmr} * (1 - wrk1)$,encodes
conv_water.F90,$tot_{ice}  = tot_{icwmr} * wrk1$,encodes
conv_water.F90,$tot_{liq}  = tot_{icwmr} * (1 - wrk1)$,encodes
conv_water.F90,"$wrk1 = min(1._r8,max(0._r8, state%q(i,k,ixcldice)/(state%q(i,k,ixcldice)+state%q(i,k,ixcldliq)+1.e-36_r8)))$",encodes
conv_water.F90,"$ls_frac  = ast(i,k) $",encodes
conv_water.F90,"$ls_icwmr  = (state%q(i,k,ixcldliq) + state%q(i,k,ixcldice))/max(frac_limit,ls_frac)$",encodes
conv_water.F90,$tot0_frac = (ls_frac + cu0_frac)$,encodes
conv_water.F90,$\displaystyle \text{Shallow convection gbx liq cld mixing ratio for COSP} = (\text{Convective in-cloud water})\times(1-\text{Ice partitioning ratio})\times(\text{Shallow convective cloud fraction})$ (sh_cldliq = sh_icwmr * (1-fice) * sh_frac),encodes
conv_water.F90,$\displaystyle \text{Shallow convection gbx ice cld mixing ratio for COSP} = (\text{Convective in-cloud water})\times(\text{Ice partitioning ratio})\times(\text{Shallow convective cloud fraction})$ (sh_cldice = sh_icwmr * fice * sh_frac),encodes
conv_water.F90,"$\displaystyle \text{Total in-cloud liquid} = \frac{\text{Large-scale total in-cloud water} + (\text{Convective large-scale area fraction})\times(\text{Convective in-cloud liquid})}{\max(0,1-\text{Fraction limit})}$ (tot_liq)",encodes
conv_water.F90,"$\displaystyle \text{Total in-cloud ice} = \frac{\text{Large-scale total in-cloud water} + (\text{Convective large-scale area fraction})\times(\text{Convective in-cloud ice})}{\max(0,1-\text{Fraction limit})}$ (tot_ice)",encodes
conv_water.F90,$\displaystyle \text{Convective in-cloud liquid} = (\text{Shallow convective cloud fraction})\times(\text{Shallow convective in-cloud liquid}) + (\text{Deep convective cloud fraction})\times(\text{Deep convective in-cloud liquid})$ (conv_liq),encodes
conv_water.F90,$\displaystyle \text{Convective in-cloud ice} = (\text{Shallow convective cloud fraction})\times(\text{Shallow convective in-cloud ice}) + (\text{Deep convective cloud fraction})\times(\text{Deep convective in-cloud ice})$ (conv_ice),encodes
conv_water.F90,$\displaystyle \text{Effective mean in-cloud total liquid} = \frac{\exp(\alpha \cdot \text{In-cloud total liquid})}{\alpha}$ (tot_liq),encodes
conv_water.F90,$\displaystyle \text{Effective mean in-cloud total ice} = \frac{\exp(\alpha \cdot \text{In-cloud total ice})}{\alpha}$ (tot_ice),encodes
conv_water.F90,"$\frac{d}{dt} \int_{V} q_{c,i} dV = 0$ becomes $q_{c,i} = \bar{q}_{i} f_i$",encodes
conv_water.F90,"$WMR_{liq,tot} = \sum WMR_{liq,conv} + LS_{icwmr}$ becomes $WMR_{liq,tot} = \frac{\sum (LS_{icwmr} + WMR_{liq,conv})}{1}$ where $\bar{q}_{i} f_i$ is the convective contribution of ice water mixing ratio.",encodes
conv_water.F90,"$\frac{d}{dt} \int_{V} q_{c,l} dV = 0$ becomes $q_{c,l} = \bar{q}_{l} f_l$",encodes
conv_water.F90,"$WMR_{ice,tot} = \sum WMR_{ice,conv} + LS_{icwmr}$ where $\bar{q}_{l} f_l$ is the convective contribution of liquid water mixing ratio.",encodes
conv_water.F90,"$kabsi = 0.005_r8 + 1._r8/rei(i,k)$",encodes
conv_water.F90,$kabsl = kabsl * ( 1._r8 - wrk1 ) + kabsi * wrk1$,encodes
conv_water.F90,"$\alpha = -1.66_r8*kabs*state%pdel(i,k)/gravit*1000.0_r8$",encodes
conv_water.F90,"$cu_icwmr = \frac{sh0_frac \times sh_icwmr(i,k) + dp0_frac*dp_icwmr(i,k)}{\max(frac_limit,cu0_frac)}$",encodes
conv_water.F90,"$cu_icwmr = log\left(\frac{sh0_frac \times sh0+dp0_frac \times dp0}{\max(frac_limit,cu0_frac)}\right)/\alpha$",encodes
conv_water.F90,"$ls_icwmr  = (state%q(i,k,ixcldliq) + state%q(i,k,ixcldice))/\max(frac_limit,ls_frac)$",encodes
conv_water.F90,"$tot_icwmr = \frac{ls_frac*ls_icwmr + cu0_frac*cu_icwmr}{\max(frac_limit,tot0_frac)}$",encodes
conv_water.F90,"$tot_icwmr = \log\left(\frac{ls_frac \times e^{\alpha \times ls_icwmr}+cu0_frac \times e^{\alpha \times cu_icwmr}}{\max(frac_limit,tot0_frac)}\right)/\alpha$",encodes
conv_water.F90,"$\frac{totg\_liq}{\max(frac\_limit,tot0\_frac)} = \frac{\int_{LS} q_{liq} dA + \int_{CU} q_{liq} dA}{\max(frac\_limit,LS + CU)}$",encodes
conv_water.F90,$conv\_liq = cu\_icwmr * (1 - wrk1)$,encodes
conv_water.F90,$tot\_liq  = tot\_icwmr * (1 - wrk1)$,encodes
conv_water.F90,$totg\_liq = tot0\_frac * tot\_icwmr * (1 - wrk1)$,encodes
mo_rrtmgp_clr_all_sky.F90,N,contains
mo_rrtmgp_clr_all_sky.F90,N,contains
mo_rrtmgp_clr_all_sky.F90,N,contains
mo_rrtmgp_clr_all_sky.F90,N,contains
mo_rrtmgp_clr_all_sky.F90,Boolean,contains
mo_rrtmgp_clr_all_sky.F90,"i, j",contains
mo_rrtmgp_clr_all_sky.F90,"i, j",contains
mo_rrtmgp_clr_all_sky.F90,"i, j",contains
mo_rrtmgp_clr_all_sky.F90,i,contains
mo_rrtmgp_clr_all_sky.F90,"b, i",contains
mo_rrtmgp_clr_all_sky.F90,Optical Properties Array,contains
mo_rrtmgp_clr_all_sky.F90,Optical Properties Array,contains
mo_rrtmgp_clr_all_sky.F90,Optional Aerosol Optical Properties,contains
mo_rrtmgp_clr_all_sky.F90,"i, j",contains
mo_rrtmgp_clr_all_sky.F90,"i, j",contains
mo_rrtmgp_clr_all_sky.F90,"i, gpt",contains
mo_rrtmgp_clr_all_sky.F90,Number of Gaussian Quadrature Angles,contains
mo_rrtmgp_clr_all_sky.F90,"Optical depth: $\tau = \int_0^\infty b(\nu) e^{-\frac{\Delta\nu}{2}} d\nu$, where $b(\nu)$ is the absorption coefficient.",encodes
mo_rrtmgp_clr_all_sky.F90,"Gas optical depth: $\tau_{gas} = \sum_i C_i \int_0^\infty b_i(\nu) e^{-\frac{\Delta\nu}{2}} d\nu$, where $C_i$ are the gas concentrations and $b_i(\nu)$ are their respective absorption coefficients.",encodes
mo_rrtmgp_clr_all_sky.F90,Transmittance: $\tau = e^{-\tau}$,encodes
mo_rrtmgp_clr_all_sky.F90,"Flux: $F = \int_0^\infty \phi(\nu) t(\nu) d\nu$, where $\phi(\nu)$ is the source function and $t(\nu)$ is the transmittance.",encodes
mo_rrtmgp_clr_all_sky.F90,"Source function: $\phi(\nu) = B(\nu) + J(\nu)$, where $B(\nu)$ is the Planck function and $J(\nu)$ is the incident radiative flux.",encodes
mo_rrtmgp_clr_all_sky.F90,"Clear-sky fluxes: $F_{clr} = F_{gas} + F_{aer}$, where $F_{gas}$ and $F_{aer}$ are the gas and aerosol contributions to the flux.",encodes
